traceID,epi_dist,z_dist,P_amp,P_freq,P_time,P_avg_amp,P_filter_gain,S_amp,S_freq,S_time,S_avg_amp,S_filter_gain,Noise_amp,is_picked,filter
RK.LYNG.10.BHE.Real,6.798464293615851,4.458200000000001,0.0022464572571802652,8.333333333333327,2023-11-10T07:29:51.330000Z,0.0007430839876814707,,0.0014605256757033165,12.49999999999999,2023-11-10T07:29:52.540000Z,0.0005080807706300045,,0.00027914025161642484,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.SYLA.03.CHZ.Real,0.9041062322886168,4.4782,0.0012553106319722466,20.833333333333314,2023-11-10T07:29:50.528000Z,0.0005842309463046913,,0.004645646769562624,17.857142857142858,2023-11-10T07:29:51.218000Z,0.0011064279240101638,,0.00044101097933278195,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.HLOD.03.CHZ.Real,11.3288328615426,4.498200000000001,0.0005034920082823595,15.624999999999986,2023-11-10T07:29:51.920000Z,0.00015957283785468081,,0.0005784822399086519,15.625000000000012,2023-11-10T07:29:52.688000Z,0.00015778036728835728,,0.00014758442232143,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.LYNG.10.BHZ.Real,6.798464293615851,4.458200000000001,0.001989566913123207,12.500000000000023,2023-11-10T07:29:51.260000Z,0.00039175752959030337,,0.0008132763636344464,12.49999999999999,2023-11-10T07:29:52.800000Z,0.00018600486007159695,,0.000119878864968633,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.MUKA.12.CHN.Real,7.466334217729464,4.341200000000001,0.0013362411746448307,4.629629629629625,2023-11-10T07:29:51.630000Z,0.0005722143802296123,,0.0021196238861801737,4.629629629629625,2023-11-10T07:29:53.318000Z,0.000648005649164726,,0.000876660283594029,False,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.MUKA.12.CHE.Real,7.466334217729464,4.341200000000001,0.0016299137954979132,3.7878787878787845,2023-11-10T07:29:51.622000Z,0.0007461330793735432,,0.0020272765300961824,9.615384615384606,2023-11-10T07:29:53.406000Z,0.0007655500896342935,,0.0012058824302710756,False,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.SUH.00.CHZ.Real,6.080769653759432,4.6542,0.0002814792507858814,9.615384615384606,2023-11-10T07:29:51.178000Z,7.90523604896056e-05,,0.0003300782002364856,10.416666666666682,2023-11-10T07:29:52.704000Z,9.547838198843656e-05,,4.018356392218124e-05,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.SUH.00.CHN.Real,6.080769653759432,4.6542,0.0002197661159152913,5.952380952380963,2023-11-10T07:29:51.290000Z,7.699254829067114e-05,,0.0005182535225283577,8.928571428571455,2023-11-10T07:29:53.100000Z,0.00013924178782146027,,0.00010180554338592532,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.FAGS.20.CHZ.Real,3.2979894563829224,4.4702,0.0014180363695729843,9.615384615384606,2023-11-10T07:29:50.738000Z,0.00039985233096842277,,0.001883932522165831,6.2500000000000115,2023-11-10T07:29:52.596000Z,0.00047934626687568595,,0.00037063564125091377,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
RK.LYNG.10.BHN.Real,6.798464293615851,4.458200000000001,0.0024097043457513203,12.49999999999999,2023-11-10T07:29:51.820000Z,0.0008045453095954768,,0.0019628326615162986,8.333333333333327,2023-11-10T07:29:53.290000Z,0.0005835119572648382,,0.00029557246440181206,True,"{'type': 'bandpass', 'lowpass': 16, 'highpass': 2, 'corners': 2, 'zerophase': True}"
